,index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,totals,weekday,Start_Lon_mean,Start_Lat_mean,End_Lon_mean,End_Lat_mean,Start_Lon_std,Start_Lat_std,End_Lon_std,End_Lat_std,Start_Lon_meanAM,Start_Lat_meanAM,End_Lon_meanAM,End_Lat_meanAM,Start_Lon_stdAM,Start_Lat_stdAM,End_Lon_stdAM,End_Lat_stdAM,Start_Lon_meanPM,Start_Lat_meanPM,End_Lon_meanPM,End_Lat_meanPM,Start_Lon_stdPM,Start_Lat_stdPM,End_Lon_stdPM,End_Lat_stdPM
20,2016-06-21,362,189,82,67,76,369,1235,2660,5115,3823,2084,1951,2162,2374,2342,2464,3319,5649,5975,4078,3024,1797,1280,1087,53564,1,-73.9870836061749,40.73774273222793,-73.98708470451504,40.73765431434329,0.016150665749071282,0.022072753930400948,0.016215710951547,0.022157561146366182,-73.9854014188033,40.737792061911286,-73.98884257237441,40.737258169666525,0.01625987598471701,0.023077371430565898,0.015560397726829009,0.020886334307435098,-73.98836415079978,40.73765324120061,-73.98672602911341,40.738080383929855,0.01581079576238116,0.02142067227095779,0.016209196113900714,0.02265930264258448
21,2016-06-22,427,196,77,53,80,327,1499,3085,5382,3972,2065,1898,2310,2487,2486,2502,3274,5787,6130,4275,2931,2143,1436,927,55749,2,-73.98690591326505,40.738148890664476,-73.98565668470563,40.73703085622295,0.016132513092193608,0.022343364004570924,0.3137760842589131,0.17397142683579125,-73.98484515911369,40.738014026841185,-73.98065453102295,40.732661493415385,0.016509763446549742,0.02352058000507092,0.7651683112923751,0.42173657960637856,-73.98821997624741,40.738111652214315,-73.98660115730394,40.738444666578324,0.01575168334381917,0.021508241210242203,0.0161707760358648,0.02271373014102921
22,2016-06-23,450,220,108,59,72,333,1326,2885,5317,3747,2040,2046,2166,2347,2485,2648,3315,5452,5411,3912,2605,1887,1410,965,53206,3,-73.98696366065948,40.73801962058357,-73.98705628258547,40.73761134374392,0.01601140074958305,0.022189495369620747,0.016121900295119868,0.022204390784423763,-73.98454725707249,40.73811548288712,-73.98811729375592,40.73723002210221,0.016350704802255246,0.023515986513012482,0.015824057721963485,0.021387273484106645,-73.9881047967118,40.73802378133981,-73.98657741650302,40.73821933147789,0.015616481214477429,0.0213977800186575,0.01603029827813506,0.022508472173580697
23,2016-06-24,507,257,166,99,100,429,1238,2596,4762,3557,2217,2156,2605,2948,3118,3436,4243,5497,4651,3270,2399,1700,1239,996,54186,4,-73.98719321002069,40.737773341222784,-73.98740449188854,40.7374934179316,0.016341071310581486,0.022549123569762314,0.01633010484854765,0.02245872173105741,-73.98487247558744,40.73757924929954,-73.98811678304915,40.736955323737696,0.01641239117789529,0.0236324399955025,0.015881636393292736,0.02145816246182715,-73.98846093589374,40.73773015780242,-73.98724774504619,40.73782309568901,0.016176554526155282,0.022041483660162044,0.016472852687366486,0.023028806798146
24,2016-06-25,731,467,322,240,162,135,326,601,1173,1785,2527,3064,3479,3732,3657,2821,2954,2906,3084,2795,2174,1486,1346,1033,43000,5,-73.98633391685617,40.7356527240629,-73.98677883549578,40.73523861352479,0.017389376598219288,0.024305422342555352,0.017388823520172784,0.024017729019294075,-73.98559990771578,40.73661508996478,-73.98764438011638,40.73623704619874,0.016861191948850694,0.024389463799008682,0.01627584399445316,0.023099689703683004,-73.98664466190527,40.7359506631376,-73.9867399748791,40.73566475664794,0.017508509119303475,0.024415637669963425,0.01746171835029675,0.02401236838979421
25,2016-06-26,733,501,353,228,134,129,228,450,946,1534,2369,3021,3004,3312,3484,3493,3568,3518,3393,2943,2263,1382,1132,874,42992,6,-73.98657029113436,40.73617195093149,-73.98653322626956,40.73583852153621,0.01726312144205359,0.023951612315075786,0.0174152344377849,0.02407165998469139,-73.98448514300222,40.73866988602036,-73.98683630161689,40.73823301256004,0.01704365971575584,0.02508535812709724,0.016541832174608726,0.02382038108692588,-73.98737396292569,40.73641355576803,-73.98680124589089,40.73594805366879,0.017163471859401244,0.024027724683615283,0.017550205982186925,0.0241665212904072
26,2016-06-27,380,192,99,48,69,324,1325,2670,4583,3321,1890,1764,1987,2221,2270,2378,3160,5722,5694,3605,2020,775,373,153,47023,0,-73.98730234049714,40.73725359601399,-73.98725605511028,40.73734369034279,0.016239658236957503,0.0220745440215676,0.01621156832190779,0.02215577761178565,-73.98510394768623,40.73690864297411,-73.98879988640782,40.736574671046036,0.01655909372346891,0.022729458769479568,0.0157212432671414,0.020779545915482648,-73.98870548885341,40.736642628870065,-73.98662275739285,40.73752157006604,0.016096063478608168,0.02165393049385217,0.016295426166727904,0.02271523058789253
27,2016-06-28,44,30,42,34,62,345,1440,2673,4994,3518,1948,1839,2144,2198,2250,2332,3138,5451,5518,3824,2501,1728,947,593,49593,1,-73.9871673554316,40.73803916372544,-73.98713689220504,40.73792309310488,0.01581997968037674,0.02186123858121691,0.015924036152953288,0.02197966309933388,-73.98509718772314,40.73746799833382,-73.98844346555072,40.736760982956696,0.016102417352221024,0.023100633400616192,0.015674534647012926,0.020928060627107288,-73.98834140820695,40.73814807318181,-73.98652154801351,40.738515189570215,0.015529050167065338,0.021165326754022502,0.01597591604367431,0.022503494834301342
28,2016-06-29,245,107,74,60,65,367,1479,3043,5297,3789,2025,2052,2229,2418,2328,2556,3479,5803,6034,4142,2875,2094,1424,897,54882,2,-73.98725007177478,40.73775977451614,-73.98597867050304,40.73678585073416,0.016053627037069598,0.02211767201773857,0.3162342927359992,0.17529914108148964,-73.98521344492819,40.73769073492669,-73.98858421267354,40.73719343321415,0.016298838833748944,0.023316088201051268,0.015596071636167427,0.02099581697734621,-73.98836504493157,40.737787154448796,-73.98697264633965,40.73779365670799,0.015740979923272114,0.02128945245325733,0.01617049125289806,0.022512295404098458
29,2016-06-30,484,217,93,67,68,340,1429,2910,5228,3787,2282,2110,2486,2571,2567,2699,3396,5513,5536,3977,2824,1811,1423,1025,54843,3,-73.9871252671107,40.738075111798615,-73.98725564986039,40.737845821572684,0.016087449469467975,0.022213668832945347,0.016187238516228244,0.02217358015495401,-73.98508146566455,40.73801295874141,-73.9886275285738,40.73729551025635,0.016177095882467015,0.023497815770002213,0.015678884103103388,0.020951643618410416,-73.98836995617609,40.738060347619225,-73.9869161461028,40.7382870687958,0.015844720779620427,0.021266178809344158,0.016174657941131664,0.02251197576792327
